dataset,problem_type,model,seed,embedding,k,split,condition,rotation_member,original_task,rotated_task,task_effect,disagreement,fit_seconds,interface_location
california_housing,regression,resnet_tabular,1,PLE,8,validation,rotated,2,55800.35151465594,58016.08874304856,2215.7372283926234,0.23540484220862046,0.4465679661370814,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,1,PLE,8,validation,rotated,3,55800.35151465594,56832.79076103264,1032.4392463766999,0.2313465587690374,0.40228497004136443,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,1,PLE,8,validation,rotated,4,55800.35151465594,58572.117630547946,2771.766115892009,0.2273061056234556,0.33796177292242646,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,1,PLE,8,validation,rotated,5,55800.35151465594,54464.1270602613,-1336.2244543946363,0.20914217693161521,0.36392552801407874,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,1,PLE,8,validation,rotated,6,55800.35151465594,56929.94534412128,1129.593829465346,0.2214948513036315,0.444223779020831,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,1,PLE,8,validation,rotated,7,55800.35151465594,57668.681670416954,1868.3301557610175,0.22104785677236802,0.4207172270398587,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,1,PLE,8,test,original,-1,64289.14605041493,64289.14605041493,0.0,0.0,0.4228958960156888,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,1,PLE,8,test,rotated,0,64289.14605041493,65499.57470327871,1210.4286528637822,0.24352854523373393,0.46141751389950514,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,1,PLE,8,test,rotated,1,64289.14605041493,62376.08831942339,-1913.0577309915388,0.22743337282332593,0.4110395279712975,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,1,PLE,8,test,rotated,2,64289.14605041493,62687.80129208694,-1601.3447583279922,0.2524035311698133,0.4465679661370814,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,1,PLE,8,test,rotated,3,64289.14605041493,66446.62028297895,2157.4742325640254,0.23270269918518363,0.40228497004136443,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,1,PLE,8,test,rotated,4,64289.14605041493,64786.31126684544,497.1652164305124,0.23560369028532555,0.33796177292242646,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,1,PLE,8,test,rotated,5,64289.14605041493,62742.10057687217,-1547.0454735427556,0.23803383546815518,0.36392552801407874,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,1,PLE,8,test,rotated,6,64289.14605041493,65674.93554887819,1385.7894984632585,0.2331611491858552,0.444223779020831,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,1,PLE,8,test,rotated,7,64289.14605041493,64173.52588439114,-115.62016602378571,0.22904580020510673,0.4207172270398587,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,1,RBF,8,validation,original,-1,60734.29844135212,60734.29844135212,0.0,0.0,0.4314840310253203,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,1,RBF,8,validation,rotated,0,60734.29844135212,61608.83017754493,874.5317361928101,0.21122501493560536,0.4414233460556716,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,1,RBF,8,validation,rotated,1,60734.29844135212,60288.24348545239,-446.05495589973,0.20479076305888258,0.34009479405358434,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,1,RBF,8,validation,rotated,2,60734.29844135212,62602.41669509512,1868.1182537429995,0.2473899684435152,0.38299312395974994,embedding_to_backbone_boundary
