git_commit,git_dirty,task_id,task_seed,seed,model,split,training_seconds,operator_accuracy,post_change_train_rows,mae,rmse,r2,nrmse,relative_error
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,3,IndependentPrograms,future,0.12396417907439172,1.0,83,0.10717038967413828,0.13047032350468993,0.9999536123464102,0.006810848228357535,0.003968223872031961
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,3,SharedStructureCoefficients,future,0.09947537002153695,1.0,83,0.10717060447503936,0.13047077961015296,0.9999536120220806,0.006810872038102168,0.003968211227724363
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,3,ContextCoefficients,future,0.9813284140545875,1.0,83,3.0591457234695554,3.9692138054536272,0.9570673285151734,0.2072020064691136,0.11354713999879576
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,3,MLP,future,0.4867299138568342,-1.0,83,15.716478851274587,18.833083149729624,0.033455676514781096,0.9831298609467719,0.57626759385938
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,3,NeuralMoE,future,1.2842886541038752,-1.0,83,12.802178362675477,17.28161766724487,0.186143732582561,0.9021398269766383,0.482409032381962
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,4,GlobalProgram,iid,0.10295210778713226,1.0,55,0.5985979358556506,1.0451561661412525,0.39651647369398035,0.7768420214599747,0.3071629638338617
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,4,IndependentPrograms,iid,0.12402483099140227,1.0,55,0.002961694808618631,0.0036273469760101755,0.9999927308899202,0.0026961287209203875,0.002063110608285299
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,4,SharedStructureCoefficients,iid,0.09820527606643736,1.0,55,0.002961699840023875,0.0036273576950613486,0.9999927308469587,0.002696136688159783,0.0020630743089610735
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,4,ContextCoefficients,iid,0.9986543508712202,1.0,55,0.04418043451732956,0.17735662275607433,0.982622077113796,0.1318253499377262,0.008211282982480092
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,4,MLP,iid,0.4023318139370531,-1.0,55,0.21684638592705596,0.4737346484065377,0.8760138014850766,0.35211673989590925,0.08645393713257146
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,4,NeuralMoE,iid,1.1619558830279857,-1.0,55,0.23665766352496576,0.4864504762977522,0.8692684798974833,0.36156814033113677,0.0955928637207957
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,4,GlobalProgram,future,0.10295210778713226,1.0,55,15.672386298021593,19.110762521316982,-0.03541991288493995,1.0175558524645907,0.5899208876617812
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,4,IndependentPrograms,future,0.12402483099140227,1.0,55,0.004331511678174138,0.005526896391646856,0.9999999133989559,0.0002942805533276087,0.00016015576703585848
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,4,SharedStructureCoefficients,future,0.09820527606643736,1.0,55,0.0043310348478980305,0.005526179591467541,0.9999999134214176,0.00029424238717821,0.0001601291777018518
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,4,ContextCoefficients,future,0.9986543508712202,1.0,55,1.6306672938517295,2.3250342996338613,0.984674339184654,0.12379685301067243,0.0521261778935598
