panel,dataset,task,model,method,product_cells,score_bias,absolute_bias,score_rmse,max_absolute_score_error,clip_epsilon
confirmation,polish_bankruptcy_2year,binclass,onehot_linear,two_disjoint_pairs64,32,2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_2year,binclass,ordinal_forest,disjoint_pair32,32,2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_2year,binclass,ordinal_forest,independent_pair32,32,2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_2year,binclass,ordinal_forest,mutually_disjoint_pack64,32,2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_2year,binclass,ordinal_forest,two_disjoint_pairs64,32,2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_2year,binclass,native_histgb,disjoint_pair32,32,2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_2year,binclass,native_histgb,independent_pair32,32,2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_2year,binclass,native_histgb,mutually_disjoint_pack64,32,2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_2year,binclass,native_histgb,two_disjoint_pairs64,32,2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_2year,binclass,catboost_native,disjoint_pair32,32,1.3877787807814457e-17,1.3877787807814457e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_2year,binclass,catboost_native,independent_pair32,32,1.3877787807814457e-17,1.3877787807814457e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_2year,binclass,catboost_native,mutually_disjoint_pack64,32,1.3877787807814457e-17,1.3877787807814457e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_2year,binclass,catboost_native,two_disjoint_pairs64,32,1.3877787807814457e-17,1.3877787807814457e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_2year,binclass,onehot_adam_mlp,disjoint_pair32,32,0.0,0.0,0.0,0.0,1e-12
confirmation,polish_bankruptcy_2year,binclass,onehot_adam_mlp,independent_pair32,32,4.584325446671533e-05,4.584325446671533e-05,0.0005155968103470504,0.0016549248783436776,1e-12
confirmation,polish_bankruptcy_2year,binclass,onehot_adam_mlp,mutually_disjoint_pack64,32,0.0,0.0,0.0,0.0,1e-12
confirmation,polish_bankruptcy_2year,binclass,onehot_adam_mlp,two_disjoint_pairs64,32,0.0,0.0,0.0,0.0,1e-12
confirmation,polish_bankruptcy_3year,binclass,onehot_linear,disjoint_pair32,32,2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_3year,binclass,onehot_linear,independent_pair32,32,2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_3year,binclass,onehot_linear,mutually_disjoint_pack64,32,2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_3year,binclass,onehot_linear,two_disjoint_pairs64,32,2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_3year,binclass,ordinal_forest,disjoint_pair32,32,0.0,0.0,0.0,0.0,1e-12
confirmation,polish_bankruptcy_3year,binclass,ordinal_forest,independent_pair32,32,0.0,0.0,0.0,0.0,1e-12
confirmation,polish_bankruptcy_3year,binclass,ordinal_forest,mutually_disjoint_pack64,32,0.0,0.0,0.0,0.0,1e-12
confirmation,polish_bankruptcy_3year,binclass,ordinal_forest,two_disjoint_pairs64,32,0.0,0.0,0.0,0.0,1e-12
confirmation,polish_bankruptcy_3year,binclass,native_histgb,disjoint_pair32,32,-2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_3year,binclass,native_histgb,independent_pair32,32,-2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,1e-12
confirmation,polish_bankruptcy_3year,binclass,native_histgb,mutually_disjoint_pack64,32,-2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,1e-12
