panel,dataset,task,model,method,product_cells,score_bias,score_rmse,max_absolute_score_error
menu_repeat,kdd17_stock_return,regression,native_histgb,disjoint_pack_cross128,64,5.551115123125783e-17,0.0,0.0
menu_repeat,kdd17_stock_return,regression,native_histgb,independent_cover_u128,64,5.551115123125783e-17,0.0,0.0
menu_repeat,kdd17_stock_return,regression,catboost_native,disjoint_pack_cross128,64,1.1102230246251565e-16,0.0,0.0
menu_repeat,kdd17_stock_return,regression,catboost_native,independent_cover_u128,64,1.1102230246251565e-16,0.0,0.0
menu_repeat,kdd17_stock_return,regression,onehot_adam_mlp,disjoint_pack_cross128,64,-5.551115123125783e-17,0.0,0.0
menu_repeat,kdd17_stock_return,regression,onehot_adam_mlp,independent_cover_u128,64,-1.0088292578591673e-05,0.0002779498716965091,0.0009315343657241848
menu_repeat,polish_bankruptcy_3year,binclass,onehot_linear,disjoint_pack_cross128,32,2.7755575615628914e-17,0.0,0.0
menu_repeat,polish_bankruptcy_3year,binclass,onehot_linear,independent_cover_u128,32,2.7755575615628914e-17,0.0,0.0
menu_repeat,polish_bankruptcy_3year,binclass,ordinal_forest,disjoint_pack_cross128,32,-1.3877787807814457e-17,0.0,0.0
menu_repeat,polish_bankruptcy_3year,binclass,ordinal_forest,independent_cover_u128,32,-1.3877787807814457e-17,0.0,0.0
menu_repeat,polish_bankruptcy_3year,binclass,native_histgb,disjoint_pack_cross128,32,-6.938893903907228e-18,0.0,0.0
menu_repeat,polish_bankruptcy_3year,binclass,native_histgb,independent_cover_u128,32,-6.938893903907228e-18,0.0,0.0
menu_repeat,polish_bankruptcy_3year,binclass,catboost_native,disjoint_pack_cross128,32,1.3877787807814457e-17,0.0,0.0
menu_repeat,polish_bankruptcy_3year,binclass,catboost_native,independent_cover_u128,32,-1.9222004321584052e-08,8.087653186311609e-06,2.244235354005586e-05
menu_repeat,polish_bankruptcy_3year,binclass,onehot_adam_mlp,disjoint_pack_cross128,32,-2.7755575615628914e-17,0.0,0.0
menu_repeat,polish_bankruptcy_3year,binclass,onehot_adam_mlp,independent_cover_u128,32,-3.9774999512215414e-06,0.00015977171610784884,0.0005345909372257429
subsample_repeat,compustat_kor_direction,binclass,onehot_linear,disjoint_pack_cross128,128,4.251599072802037e-12,1.9297353551184073e-09,5.977722095096283e-09
subsample_repeat,compustat_kor_direction,binclass,onehot_linear,independent_cover_u128,128,7.407774393897171e-11,2.7568407430809737e-09,8.580533061852691e-09
subsample_repeat,compustat_kor_direction,binclass,ordinal_forest,disjoint_pack_cross128,128,-2.952945245882077e-06,0.00010290588440796191,0.00034208873076013724
subsample_repeat,compustat_kor_direction,binclass,ordinal_forest,independent_cover_u128,128,-6.618361900412317e-06,0.00013642017031919595,0.00044551684317162277
subsample_repeat,compustat_kor_direction,binclass,native_histgb,disjoint_pack_cross128,128,7.283269025104566e-07,2.7719027173039497e-05,0.00010936973416497686
subsample_repeat,compustat_kor_direction,binclass,native_histgb,independent_cover_u128,128,-2.6539758396504354e-06,3.702667588894952e-05,0.00013017197470294173
subsample_repeat,compustat_kor_direction,binclass,catboost_native,disjoint_pack_cross128,128,-9.530737326568506e-07,4.086302252914685e-05,0.0001088599513138222
subsample_repeat,compustat_kor_direction,binclass,catboost_native,independent_cover_u128,128,-1.5489689377812255e-06,5.912063982723528e-05,0.0001592764457456486
subsample_repeat,compustat_kor_direction,binclass,onehot_adam_mlp,disjoint_pack_cross128,128,9.51776719659847e-08,8.523358443624572e-05,0.0002735702151550057
subsample_repeat,compustat_kor_direction,binclass,onehot_adam_mlp,independent_cover_u128,128,1.410920154820694e-06,0.00011279886623465969,0.00037515913740743256
subsample_repeat,credit_card_default,binclass,onehot_linear,disjoint_pack_cross128,32,0.0,0.0,0.0
subsample_repeat,credit_card_default,binclass,onehot_linear,independent_cover_u128,32,0.0,0.0,0.0
subsample_repeat,credit_card_default,binclass,ordinal_forest,disjoint_pack_cross128,32,-1.1102230246251565e-16,0.0,0.0
subsample_repeat,credit_card_default,binclass,ordinal_forest,independent_cover_u128,32,-1.1102230246251565e-16,0.0,0.0
subsample_repeat,credit_card_default,binclass,native_histgb,disjoint_pack_cross128,32,0.0,0.0,0.0
subsample_repeat,credit_card_default,binclass,native_histgb,independent_cover_u128,32,-2.6532818386826307e-08,3.755520428826999e-07,1.2559629443131826e-06
subsample_repeat,credit_card_default,binclass,catboost_native,disjoint_pack_cross128,32,-5.551115123125783e-17,0.0,0.0
subsample_repeat,credit_card_default,binclass,catboost_native,independent_cover_u128,32,-2.3097251328207946e-06,2.575728741268972e-05,8.004835500907692e-05
subsample_repeat,credit_card_default,binclass,onehot_adam_mlp,disjoint_pack_cross128,32,0.0,0.0,0.0
subsample_repeat,credit_card_default,binclass,onehot_adam_mlp,independent_cover_u128,32,-3.7713817240825342e-06,0.0001239497498473089,0.00038289985024547724
subsample_repeat,credit_card_fraud,binclass,onehot_linear,disjoint_pack_cross128,32,-6.505213034913027e-19,0.0,0.0
subsample_repeat,credit_card_fraud,binclass,onehot_linear,independent_cover_u128,32,-6.505213034913027e-19,0.0,0.0
subsample_repeat,credit_card_fraud,binclass,ordinal_forest,disjoint_pack_cross128,32,0.0,0.0,0.0
subsample_repeat,credit_card_fraud,binclass,ordinal_forest,independent_cover_u128,32,0.0,0.0,0.0
subsample_repeat,credit_card_fraud,binclass,native_histgb,disjoint_pack_cross128,32,2.168404344971009e-19,0.0,0.0
subsample_repeat,credit_card_fraud,binclass,native_histgb,independent_cover_u128,32,1.5507185823306936e-07,2.898345383223772e-06,7.460404425210917e-06
subsample_repeat,credit_card_fraud,binclass,catboost_native,disjoint_pack_cross128,32,-1.0842021724855044e-19,0.0,0.0
subsample_repeat,credit_card_fraud,binclass,catboost_native,independent_cover_u128,32,7.830121929747885e-09,1.3875165803347763e-06,3.783559125662586e-06
subsample_repeat,credit_card_fraud,binclass,onehot_adam_mlp,disjoint_pack_cross128,32,2.168404344971009e-19,0.0,0.0
subsample_repeat,credit_card_fraud,binclass,onehot_adam_mlp,independent_cover_u128,32,8.947652605235511e-07,1.4848999815940702e-05,5.6478276292154734e-05
subsample_repeat,heloc_credit_risk,binclass,onehot_linear,disjoint_pack_cross128,32,-1.1102230246251565e-16,0.0,0.0
subsample_repeat,heloc_credit_risk,binclass,onehot_linear,independent_cover_u128,32,-1.1102230246251565e-16,0.0,0.0
subsample_repeat,heloc_credit_risk,binclass,ordinal_forest,disjoint_pack_cross128,32,1.1102230246251565e-16,0.0,0.0
subsample_repeat,heloc_credit_risk,binclass,ordinal_forest,independent_cover_u128,32,1.1102230246251565e-16,0.0,0.0
subsample_repeat,heloc_credit_risk,binclass,native_histgb,disjoint_pack_cross128,32,-1.1102230246251565e-16,0.0,0.0
subsample_repeat,heloc_credit_risk,binclass,native_histgb,independent_cover_u128,32,-1.1102230246251565e-16,0.0,0.0
