dataset,problem_type,model,seed,embedding,k,default_task_error,mean_random_basis_error,best_random_basis_error,worst_random_basis_error,validation_selected_member,validation_selected_basis_error,oracle_best_test_member,oracle_best_test_error,default_is_best_test_basis,default_minus_best_random,validation_selected_minus_default,raw_disagreement
debutanizer,regression,resnet_tabular,0,RBF,8,0.09272847643780079,0.09831768642453084,0.09364297105966514,0.10341837585880195,3,0.0964348724997993,-1,0.09272847643780079,True,-0.0009144946218643535,0.003706396061998518,0.30224781852998517
debutanizer,regression,resnet_tabular,0,RBF,16,0.0992052072064688,0.10337163244995762,0.09765843416177825,0.10717120745436529,2,0.10717120745436529,5,0.09765843416177825,False,0.001546773044690558,0.007966000247896482,0.31548144431599695
debutanizer,regression,resnet_tabular,1,PLE,8,0.08249543886324949,0.07626125668519637,0.07072009635175469,0.08185724085232814,6,0.07072009635175469,6,0.07072009635175469,False,0.011775342511494799,-0.011775342511494799,0.30139065875034465
debutanizer,regression,resnet_tabular,1,PLE,16,0.08297217742650168,0.08385893190150834,0.07566178129044072,0.08662341673842454,5,0.08662341673842454,1,0.07566178129044072,False,0.007310396136060951,0.003651239311922863,0.2631891086945584
debutanizer,regression,resnet_tabular,1,RBF,8,0.09213173970178594,0.09271995117681028,0.08680130180651933,0.10534186324316287,5,0.08771631373940167,0,0.08680130180651933,False,0.005330437895266604,-0.00441542596238427,0.2955233320545646
debutanizer,regression,resnet_tabular,1,RBF,16,0.1007892000414348,0.10539220993953796,0.09749834671354222,0.10874166365949166,5,0.1079656898574441,2,0.09749834671354222,False,0.0032908533278925706,0.00717648981600931,0.32082050266258055
debutanizer,regression,tabm_d,0,PLE,8,0.08799309455871757,0.08263082128882096,0.07837128672051245,0.08605531964012263,4,0.07837128672051245,4,0.07837128672051245,False,0.009621807838205113,-0.009621807838205113,0.24896951663703376
debutanizer,regression,tabm_d,0,PLE,16,0.07924277602582155,0.08318103063085841,0.08001834675223778,0.08563926295723805,3,0.08140385077798805,-1,0.07924277602582155,True,-0.000775570726416222,0.0021610747521664947,0.19876510319200072
debutanizer,regression,tabm_d,0,RBF,8,0.08272613754135721,0.09317724423008868,0.09061373056468358,0.09845451322142322,-1,0.08272613754135721,-1,0.08272613754135721,True,-0.007887593023326367,0.0,0.2216236976198347
debutanizer,regression,tabm_d,0,RBF,16,0.08598302996438402,0.09863002905668235,0.09610088204533701,0.1005994355103682,-1,0.08598302996438402,-1,0.08598302996438402,True,-0.010117852080952991,0.0,0.23830418655796395
debutanizer,regression,tabm_d,1,PLE,8,0.08705374682336645,0.08249722209452834,0.07840052892497795,0.08519280390427832,4,0.07840052892497795,4,0.07840052892497795,False,0.008653217898388493,-0.008653217898388493,0.2575404767479163
debutanizer,regression,tabm_d,1,PLE,16,0.0807690695994176,0.08348858943930149,0.07917444912814338,0.08541701651324497,3,0.08349419077900275,6,0.07917444912814338,False,0.001594620471274219,0.0027251211795851493,0.19555687558205992
debutanizer,regression,tabm_d,1,RBF,8,0.08399544504649252,0.09342615386732497,0.090911656103447,0.09733685167338547,-1,0.08399544504649252,-1,0.08399544504649252,True,-0.006916211056954474,0.0,0.21373565636078534
debutanizer,regression,tabm_d,1,RBF,16,0.08607202389099407,0.09885042144995933,0.09666017110201246,0.10056177219825715,-1,0.08607202389099407,-1,0.08607202389099407,True,-0.01058814721101839,0.0,0.24695288486854014
phoneme,classification,controlled_mlp,0,PLE,8,0.33507949633612333,0.32588340906969904,0.31474342127461774,0.3335521755034298,4,0.3212451441034442,3,0.31474342127461774,False,0.020336075061505587,-0.013834352232679148,0.04893946448155143
phoneme,classification,controlled_mlp,0,PLE,16,0.3259088470419814,0.3172947587186881,0.3128183600870532,0.321425266621759,6,0.3146322711804234,5,0.3128183600870532,False,0.013090486954928204,-0.011276575861558003,0.06382288954345271
phoneme,classification,controlled_mlp,0,RBF,8,0.35855421061891923,0.3506637875614748,0.3418339401215582,0.36098949383851786,2,0.36098949383851786,3,0.3418339401215582,False,0.016720270497361023,0.0024352832195986274,0.046808135816459526
phoneme,classification,controlled_mlp,0,RBF,16,0.3821049207969147,0.37724696889377707,0.363909743086972,0.38666373470753623,0,0.3754626833597493,1,0.363909743086972,False,0.018195177709942723,-0.00664223743716541,0.07417639763249961
phoneme,classification,controlled_mlp,1,PLE,8,0.3200063466137041,0.3223575419553183,0.3190230823990541,0.326822743384068,4,0.326822743384068,1,0.3190230823990541,False,0.0009832642146500037,0.006816396770363942,0.03824216183689477
phoneme,classification,controlled_mlp,1,PLE,16,0.3229520091275869,0.3225909440449556,0.31312523833730516,0.3334784020512621,-1,0.3229520091275869,6,0.31312523833730516,False,0.00982677079028177,0.0,0.053774825054771075
phoneme,classification,controlled_mlp,1,RBF,8,0.3506957337800562,0.34880145911810834,0.34375830150009234,0.35188269298183383,7,0.3475435530167047,6,0.34375830150009234,False,0.006937432279963851,-0.0031521807633514975,0.04324326194170212
phoneme,classification,controlled_mlp,1,RBF,16,0.3751024567298059,0.37966420584737026,0.36674396848514035,0.39698600211402457,0,0.38307526641356826,3,0.36674396848514035,False,0.008358488244665563,0.00797280968376235,0.0730129710873656
phoneme,classification,resnet_tabular,0,PLE,8,0.32854629179572215,0.342104338616292,0.3227929547029942,0.39355333307341733,-1,0.32854629179572215,4,0.3227929547029942,False,0.0057533370927279615,0.0,0.1133962903736013
phoneme,classification,resnet_tabular,0,PLE,16,0.36777492421373426,0.3211314618903177,0.31598027014502683,0.3291857087063699,7,0.3291857087063699,2,0.31598027014502683,False,0.051794654068707424,-0.03858921550736438,0.1342865772571507
phoneme,classification,resnet_tabular,0,RBF,8,0.3879520246310316,0.359621433383057,0.34640719929507846,0.38065411059485743,6,0.38065411059485743,0,0.34640719929507846,False,0.04154482533595316,-0.007297914036174191,0.10733894205721367
phoneme,classification,resnet_tabular,0,RBF,16,0.3498041959790289,0.3594749947075788,0.3498662792837705,0.38381062786252584,0,0.35764843269914626,-1,0.3498041959790289,True,-6.208330474161139e-05,0.007844236720117359,0.10021201023103832
phoneme,classification,resnet_tabular,1,PLE,8,0.32978146349225973,0.3438556678923362,0.3196981153226385,0.42528663545624223,3,0.32891751006134184,1,0.3196981153226385,False,0.010083348169621253,-0.0008639534309178853,0.11675335973298002
phoneme,classification,resnet_tabular,1,PLE,16,0.3077621420607188,0.33606804390700307,0.3245546403515072,0.35018571283901545,2,0.3265056449473548,-1,0.3077621420607188,True,-0.016792498290788438,0.01874350288663601,0.1004167177104422
phoneme,classification,resnet_tabular,1,RBF,8,0.32684331149447393,0.35702556696770366,0.3297104409695998,0.37730464110093,4,0.34990165128672457,-1,0.32684331149447393,True,-0.0028671294751258514,0.023058339792250637,0.12168992357761776
phoneme,classification,resnet_tabular,1,RBF,16,0.36727645775083206,0.36656338678539885,0.3481523971337198,0.3825518913266448,0,0.3802000649344287,2,0.3481523971337198,False,0.01912406061711225,0.012923607183596642,0.10328318228361463
phoneme,classification,tabm_d,0,PLE,8,0.33481878938175946,0.31994826311340296,0.3114413388995692,0.3363839347029893,5,0.3237068340242325,6,0.3114413388995692,False,0.023377450482190254,-0.01111195535752696,0.11842991092564609
phoneme,classification,tabm_d,0,PLE,16,0.32791221421880057,0.3242935905184028,0.3129408629467173,0.33594978882677523,0,0.3214527223467768,6,0.3129408629467173,False,0.014971351272083266,-0.00645949187202377,0.08745030522696065
phoneme,classification,tabm_d,0,RBF,8,0.3352074138510377,0.3381003392921154,0.32905452956516473,0.35099104434805006,1,0.35099104434805006,4,0.32905452956516473,False,0.0061528842858729615,0.01578363049701237,0.09323391564652517
phoneme,classification,tabm_d,0,RBF,16,0.35097001758152324,0.3496006122159777,0.3356897351675417,0.3651801879244665,-1,0.35097001758152324,7,0.3356897351675417,False,0.01528028241398155,0.0,0.09976278157256376
phoneme,classification,tabm_d,1,PLE,8,0.3237471780404253,0.32355828066195613,0.3116123391388793,0.3386748541379047,5,0.3217839711651316,3,0.3116123391388793,False,0.012134838901545986,-0.0019632068752937215,0.11037082994278241
phoneme,classification,tabm_d,1,PLE,16,0.3270112933731107,0.3223554639274712,0.31335223959670333,0.33411343866542376,0,0.3168747312845657,5,0.31335223959670333,False,0.01365905377640736,-0.010136562088544965,0.0900614727176714
phoneme,classification,tabm_d,1,RBF,8,0.33134588443980284,0.3372375927884177,0.3234028970373938,0.35975753212607087,1,0.35975753212607087,6,0.3234028970373938,False,0.007942987402409063,0.028411647686268027,0.09335048122734768
phoneme,classification,tabm_d,1,RBF,16,0.3432042133397487,0.3481700172154434,0.33601875901564027,0.37261621564326747,-1,0.3432042133397487,0,0.33601875901564027,False,0.007185454324108442,0.0,0.09451974449476243
space-ga,regression,controlled_mlp,0,PLE,8,0.09824987788894625,0.09883607972640371,0.09821018298140845,0.09989275636574511,-1,0.09824987788894625,2,0.09821018298140845,False,3.9694907537801694e-05,0.0,0.09699028155287642
space-ga,regression,controlled_mlp,0,PLE,16,0.10356618318576255,0.10212097206559577,0.1009487898539507,0.10376582232323425,-1,0.10356618318576255,1,0.1009487898539507,False,0.0026173933318118514,0.0,0.20092886478792335
space-ga,regression,controlled_mlp,0,RBF,8,0.10948816713110185,0.10655246871554314,0.10131300170002856,0.11119037456770757,1,0.10323492038288204,4,0.10131300170002856,False,0.008175165431073286,-0.0062532467482198095,0.18047410603198158
space-ga,regression,controlled_mlp,0,RBF,16,0.11264683939053939,0.11391313940594783,0.10858321324556677,0.11696341038504118,3,0.10969444206763422,7,0.10858321324556677,False,0.004063626144972618,-0.0029523973229051703,0.3291956067999641
space-ga,regression,controlled_mlp,1,PLE,8,0.09883750114724536,0.0991161350056966,0.09844954709855533,0.10015518409480857,-1,0.09883750114724536,7,0.09844954709855533,False,0.000387954048690034,0.0,0.11110380227098524
space-ga,regression,controlled_mlp,1,PLE,16,0.09981435315307306,0.1024762117912925,0.10066280010708509,0.1047517457734152,2,0.10163954156356586,-1,0.09981435315307306,True,-0.0008484469540120249,0.001825188410492798,0.1644637029734387
space-ga,regression,controlled_mlp,1,RBF,8,0.11454854277540508,0.10365449732584828,0.10071872750448176,0.10531901747982958,2,0.10385106955182515,7,0.10071872750448176,False,0.01382981527092332,-0.010697473223579931,0.3068543410372814
space-ga,regression,controlled_mlp,1,RBF,16,0.12146006177966893,0.1119343670522667,0.10888217127203202,0.11358607060229872,6,0.11053959211230281,4,0.10888217127203202,False,0.012577890507636913,-0.010920469667366123,0.38647019586239045
space-ga,regression,resnet_tabular,0,PLE,8,0.10076069143002489,0.10191060070166141,0.10051531663594908,0.10453562171534146,0,0.10051531663594908,0,0.10051531663594908,False,0.00024537479407581164,-0.00024537479407581164,0.1843376409490052
space-ga,regression,resnet_tabular,0,PLE,16,0.10344377011507139,0.10333459429798975,0.09982762461766807,0.10643781720268397,7,0.10301391274400908,0,0.09982762461766807,False,0.003616145497403314,-0.0004298573710623116,0.1987500530976652
space-ga,regression,resnet_tabular,0,RBF,8,0.10617413653685337,0.10381668133215553,0.1022252897845768,0.10528152484662875,-1,0.10617413653685337,2,0.1022252897845768,False,0.003948846752276566,0.0,0.2337750620467882
space-ga,regression,resnet_tabular,0,RBF,16,0.10546295507346394,0.1062983905204636,0.10398102504333943,0.10787657083396991,0,0.10787657083396991,7,0.10398102504333943,False,0.0014819300301245064,0.0024136157605059716,0.26080487426378496
space-ga,regression,resnet_tabular,1,PLE,8,0.09963962193333648,0.10151709609765282,0.0980712025310043,0.10697628329783138,6,0.10007479057824517,4,0.0980712025310043,False,0.001568419402332169,0.00043516864490869556,0.21459082900769333
space-ga,regression,resnet_tabular,1,PLE,16,0.10402250010033459,0.1026669834959018,0.10087306620768895,0.10525409594760787,1,0.10087306620768895,1,0.10087306620768895,False,0.003149433892645645,-0.003149433892645645,0.2217113921925401
space-ga,regression,resnet_tabular,1,RBF,8,0.10425858719101228,0.10478748610375792,0.10268204442243016,0.10772954725814624,6,0.10440692210630978,3,0.10268204442243016,False,0.0015765427685821148,0.00014833491529750442,0.22861431181344904
space-ga,regression,resnet_tabular,1,RBF,16,0.10700392644757105,0.1069937458034837,0.1046729590737116,0.11019254090390725,7,0.10627767146597876,3,0.1046729590737116,False,0.0023309673738594466,-0.0007262549815922892,0.2540483186092443
space-ga,regression,tabm_d,0,PLE,8,0.1030326206838903,0.1023210527995295,0.10059241020478336,0.10314064294549029,2,0.10314064294549029,3,0.10059241020478336,False,0.002440210479106933,0.00010802226159999095,0.24193563811851643
