dataset,problem_type,model,method,family,alpha,disagreement_reduction,normalized_excess_risk,absolute_task_difference,method_loss,raw_fallback,predictive_rank
phoneme,classification,tabpfn_2_6,GuardedGram-G1-t0,G1,0.75,0.7499999993185706,-0.013682221550665449,-0.004542086874590984,0.26818996644442133,False,5.0
phoneme,classification,tabpfn_2_6,GuardedGram-G2-g0p0-t01,G2,0.75,0.7499999993185706,-0.013682221550665449,-0.004542086874590984,0.26818996644442133,False,5.0
phoneme,classification,tabpfn_2_6,GuardedGram-G3,G3,0.625,0.624999999188137,-0.014783438743852708,-0.004907035462748066,0.2678250178562642,False,2.0
phoneme,classification,tabpfn_2_6,PureGram,fixed,1.0,1.0,-0.001764981604258799,-0.0005848308258164236,0.2721472224931959,False,8.0
phoneme,classification,tabpfn_2_6,Raw,fixed,0.0,0.0,0.0,0.0,0.2727320533190123,True,9.0
phoneme,classification,tabpfn_2_6,Raw+Gram@0.5,fixed,0.5,0.4999999990914277,-0.016620918095425784,-0.00551838826934975,0.2672136650496626,False,1.0
phoneme,classification,tabpfn_2_6,Raw+Gram@0.75,fixed,0.75,0.7499999993185706,-0.013682221550665449,-0.004542086874590984,0.26818996644442133,False,5.0
phoneme,classification,tabpfn_2_6,SafeGram-t01,safety_reference,0.25,0.2499999993185708,-0.01226182939830945,-0.004071454240171912,0.26866059907884043,False,7.0
phoneme,classification,tabpfn_2_6,SafeRankGram-t01,safety_reference,0.375,0.3750000007918428,-0.0140506858509175,-0.0046651531093064025,0.2680669002097059,False,3.0
space-ga,regression,catboost,GuardedGram-G1-t0,G1,0.75,0.75,-0.0007708615957288101,-6.44173827447983e-05,0.10336082441968414,False,3.5
space-ga,regression,catboost,GuardedGram-G2-g0p0-t01,G2,0.75,0.75,-0.0007708615957288101,-6.44173827447983e-05,0.10336082441968414,False,3.5
space-ga,regression,catboost,GuardedGram-G3,G3,0.75,0.75,-0.0007708615957288101,-6.44173827447983e-05,0.10336082441968414,False,3.5
space-ga,regression,catboost,PureGram,fixed,1.0,1.0,0.0050253606248646995,0.00042074826258434866,0.10384599006501327,False,9.0
space-ga,regression,catboost,Raw,fixed,0.0,0.0,0.0,0.0,0.10342524180242893,True,6.0
space-ga,regression,catboost,Raw+Gram@0.5,fixed,0.5,0.5,-0.0035503984454287414,-0.0002970929851983384,0.10312814881723059,False,1.0
