dataset,problem_type,model,seed,pair,method,split,reconstruction_error,coordinate_error,disagreement,disagreement_reduction,task_error,relative_task_change
wine-quality-red,regression,catboost,2,local_vs_spectral_hat,GramAnchor,validation,2.0028348924293496e-16,9.723333224939051e-17,0.0,1.0,0.644481230435462,-0.0031407167086891
wine-quality-red,regression,catboost,2,local_vs_spectral_hat,Raw,test,2.0028348924293496e-16,0.0,0.1012921523604706,0.0,0.6498392353411461,0.0
wine-quality-red,regression,catboost,2,local_vs_spectral_hat,GramAnchor,test,2.0028348924293496e-16,9.723333224939051e-17,0.0,1.0,0.6418995637665046,-0.0122179012020925
bike-sharing,regression,controlled_mlp,0,local_vs_spectral_hat,Raw,validation,2.1424358174305508e-16,0.0,0.1421160474049676,0.0,72.53016611054734,0.0
bike-sharing,regression,controlled_mlp,0,local_vs_spectral_hat,GramAnchor,validation,2.1424358174305508e-16,1.9777041243197727e-16,0.0,1.0,72.84170794116879,0.0042953414741476
bike-sharing,regression,controlled_mlp,0,local_vs_spectral_hat,Raw,test,2.1424358174305508e-16,0.0,0.1203404546678897,0.0,77.16563257939634,0.0
bike-sharing,regression,controlled_mlp,0,local_vs_spectral_hat,GramAnchor,test,2.1424358174305508e-16,1.9777041243197727e-16,0.0,1.0,76.19263467441763,-0.012609213097263
bike-sharing,regression,controlled_mlp,0,onehot_vs_helmert,Raw,validation,1.7916185122862606e-16,0.0,0.0885165382293762,0.0,70.5029563057822,0.0
bike-sharing,regression,controlled_mlp,0,onehot_vs_helmert,GramAnchor,validation,1.7916185122862606e-16,7.579601521546418e-17,0.0,1.0,69.04963572426955,-0.0206136119343617
bike-sharing,regression,controlled_mlp,0,onehot_vs_helmert,Raw,test,1.7916185122862606e-16,0.0,0.0907519112625325,0.0,76.40112529010118,0.0
bike-sharing,regression,controlled_mlp,0,onehot_vs_helmert,GramAnchor,test,1.7916185122862606e-16,7.579601521546418e-17,0.0,1.0,74.175401629243,-0.029132079565673
bike-sharing,regression,controlled_mlp,1,local_vs_spectral_hat,Raw,validation,2.1424358174305508e-16,0.0,0.0577383968522146,0.0,76.0384933784316,0.0
bike-sharing,regression,controlled_mlp,1,local_vs_spectral_hat,GramAnchor,validation,2.1424358174305508e-16,1.9777041243197727e-16,0.0,1.0,73.2147280252164,-0.037135998199777
bike-sharing,regression,controlled_mlp,1,local_vs_spectral_hat,Raw,test,2.1424358174305508e-16,0.0,0.0490785516987343,0.0,81.75615475452736,0.0
bike-sharing,regression,controlled_mlp,1,local_vs_spectral_hat,GramAnchor,test,2.1424358174305508e-16,1.9777041243197727e-16,0.0,1.0,73.27415276584617,-0.1037475651117445
bike-sharing,regression,controlled_mlp,1,onehot_vs_helmert,Raw,validation,1.7916185122862606e-16,0.0,0.0897856445222969,0.0,73.34231252782743,0.0
bike-sharing,regression,controlled_mlp,1,onehot_vs_helmert,GramAnchor,validation,1.7916185122862606e-16,7.579601521546418e-17,0.0,1.0,70.05461356020079,-0.0448267699001067
bike-sharing,regression,controlled_mlp,1,onehot_vs_helmert,Raw,test,1.7916185122862606e-16,0.0,0.0835164406379466,0.0,78.00769345797514,0.0
bike-sharing,regression,controlled_mlp,1,onehot_vs_helmert,GramAnchor,test,1.7916185122862606e-16,7.579601521546418e-17,0.0,1.0,74.62494948159544,-0.0433642353263794
bike-sharing,regression,controlled_mlp,2,local_vs_spectral_hat,Raw,validation,2.1424358174305508e-16,0.0,0.0849942489976274,0.0,72.13994946634324,0.0
bike-sharing,regression,controlled_mlp,2,local_vs_spectral_hat,GramAnchor,validation,2.1424358174305508e-16,1.9777041243197727e-16,0.0,1.0,75.02167143294459,0.0399462709347448
bike-sharing,regression,controlled_mlp,2,local_vs_spectral_hat,Raw,test,2.1424358174305508e-16,0.0,0.0757451631509129,0.0,79.03785886475463,0.0
bike-sharing,regression,controlled_mlp,2,local_vs_spectral_hat,GramAnchor,test,2.1424358174305508e-16,1.9777041243197727e-16,0.0,1.0,72.88131393306897,-0.0778936198438828
bike-sharing,regression,controlled_mlp,2,onehot_vs_helmert,Raw,validation,1.7916185122862606e-16,0.0,0.1011674028163658,0.0,71.14862399696966,0.0
bike-sharing,regression,controlled_mlp,2,onehot_vs_helmert,GramAnchor,validation,1.7916185122862606e-16,7.579601521546418e-17,0.0,1.0,70.03558800956507,-0.0156438160694715
bike-sharing,regression,controlled_mlp,2,onehot_vs_helmert,Raw,test,1.7916185122862606e-16,0.0,0.0935799084563808,0.0,79.1057565708493,0.0
bike-sharing,regression,controlled_mlp,2,onehot_vs_helmert,GramAnchor,test,1.7916185122862606e-16,7.579601521546418e-17,0.0,1.0,72.16272279651773,-0.0877690079117465
california_housing,regression,controlled_mlp,0,local_vs_spectral_hat,Raw,validation,2.0851388871316656e-16,0.0,0.1508961953440335,0.0,61032.87440815362,0.0
california_housing,regression,controlled_mlp,0,local_vs_spectral_hat,GramAnchor,validation,2.0851388871316656e-16,1.206163813876603e-16,0.0,1.0,60225.68918618721,-0.0132254171181321
california_housing,regression,controlled_mlp,0,local_vs_spectral_hat,Raw,test,2.0851388871316656e-16,0.0,0.1559034218032411,0.0,65481.36730531103,0.0
california_housing,regression,controlled_mlp,0,local_vs_spectral_hat,GramAnchor,test,2.0851388871316656e-16,1.206163813876603e-16,0.0,1.0,62969.98468595576,-0.038352629499103
california_housing,regression,controlled_mlp,0,onehot_vs_helmert,Raw,validation,1.6019295092324714e-16,0.0,0.1158976839444788,0.0,61317.24625348784,0.0
california_housing,regression,controlled_mlp,0,onehot_vs_helmert,GramAnchor,validation,1.6019295092324714e-16,9.378063810316416e-17,0.0,1.0,60010.64274014156,-0.0213089072517172
california_housing,regression,controlled_mlp,0,onehot_vs_helmert,Raw,test,1.6019295092324714e-16,0.0,0.1208731937434902,0.0,65288.85728446,0.0
california_housing,regression,controlled_mlp,0,onehot_vs_helmert,GramAnchor,test,1.6019295092324714e-16,9.378063810316416e-17,0.0,1.0,64110.49459905955,-0.0180484501400657
california_housing,regression,controlled_mlp,1,local_vs_spectral_hat,Raw,validation,2.0851388871316656e-16,0.0,0.0374945330887549,0.0,60747.1321549127,0.0
california_housing,regression,controlled_mlp,1,local_vs_spectral_hat,GramAnchor,validation,2.0851388871316656e-16,1.206163813876603e-16,0.0,1.0,60414.752269524826,-0.0054715321299492
california_housing,regression,controlled_mlp,1,local_vs_spectral_hat,Raw,test,2.0851388871316656e-16,0.0,0.0396749069113895,0.0,63351.59646711859,0.0
