git_commit,git_dirty,task_id,task_seed,seed,alpha,model,split,magnitude_multiplier,training_seconds,residual_usage,gate_mean,mae,rmse,r2,nrmse,relative_error
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,2,0.1,PureProgram,ood,4.0,0.0,0.0,0.0,0.14293898929085458,0.1668596983743162,0.9995185871283544,0.021941122843773486,0.0250764558336605
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,2,0.1,UnpenalizedResidual,ood,4.0,0.6726063219830394,0.6127369431278713,1.0,4.209762945025625,4.659702477693469,0.6245681052785953,0.6127249747818386,0.7170741221279315
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,2,0.1,PenalizedScalarResidual,ood,4.0,0.7915857629850507,0.23454254656038204,0.05002118647098541,1.6249637448782874,1.7867836116837323,0.9447975045641515,0.23495211306955413,0.27393951935197575
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,2,0.1,AdaptiveResidual,ood,4.0,1.0300026689656079,0.20284538344713987,0.04774770692165475,1.3245019769913733,1.5415827608925563,0.9589088326047193,0.20270956414358127,0.2177382725461936
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,2,0.1,PureMLP,ood,4.0,0.7298050539102405,-1.0,-1.0,0.7541434613634976,0.8913424980719972,0.9862626166777986,0.11720658395415111,0.11927535020391071
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,3,0.1,PureProgram,iid,1.0,0.0,0.0,0.0,0.1325467417322983,0.15968943888463005,0.9902625679062389,0.09867842770211295,0.09935024583253492
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,3,0.1,UnpenalizedResidual,iid,1.0,0.727932098088786,0.09444519355157746,1.0,0.03994124788496843,0.05168313535457586,0.9989800244607575,0.03193705589503391,0.02727137176204473
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,3,0.1,PenalizedScalarResidual,iid,1.0,0.8278603130020201,0.0877064715586131,0.04885512962937355,0.02338718331239032,0.029929516442857695,0.9996579485366869,0.018494633365199926,0.017213423486494066
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,3,0.1,AdaptiveResidual,iid,1.0,1.0804959069937468,0.08753150080962913,0.037999094180122484,0.023811272584810406,0.030378787272610275,0.9996476024196423,0.01877225560122292,0.01737969142926724
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,3,0.1,PureMLP,iid,1.0,0.709404009860009,-1.0,-1.0,0.10129858269600334,0.12359613226409133,0.9941668678814778,0.0763749443110906,0.07685012762636723
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,3,0.1,PureProgram,ood,4.0,0.0,0.0,0.0,0.14293898929085458,0.1668596983743162,0.9995185871283544,0.021941122843773486,0.0250764558336605
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,3,0.1,UnpenalizedResidual,ood,4.0,0.727932098088786,0.5399370508128322,1.0,3.7641763004557807,4.1114621471288135,0.7077144252999208,0.5406344187157152,0.6199999315747652
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,3,0.1,PenalizedScalarResidual,ood,4.0,0.8278603130020201,0.21559841336747834,0.04885512962937355,1.5076544137237888,1.6503093368995252,0.9529081769916753,0.2170065045299902,0.24502285467888812
