scope,task_type,unit,lambda,loss
synthetic_test,classification,n96_d12_r0.50,0.7000000000000001,0.621579295879382
synthetic_test,classification,n96_d12_r0.50,0.8,0.6217224504123641
synthetic_test,classification,n96_d12_r0.50,0.9,0.6221501789882117
synthetic_test,classification,n96_d12_r0.50,1.0,0.6228820778231126
synthetic_test,classification,n96_d12_r0.75,0.0,0.625785625025733
synthetic_test,classification,n96_d12_r0.75,0.1,0.6240873580435057
synthetic_test,classification,n96_d12_r0.75,0.2,0.6226389574867763
synthetic_test,classification,n96_d12_r0.75,0.30000000000000004,0.6214380877052216
synthetic_test,classification,n96_d12_r0.75,0.4,0.6204847282536118
synthetic_test,classification,n96_d12_r0.75,0.5,0.6197811474595949
synthetic_test,classification,n96_d12_r0.75,0.6000000000000001,0.6193320218282533
synthetic_test,classification,n96_d12_r0.75,0.7000000000000001,0.6191447176921568
synthetic_test,classification,n96_d12_r0.75,0.8,0.6192297856485927
synthetic_test,classification,n96_d12_r0.75,0.9,0.6196017740001504
synthetic_test,classification,n96_d12_r0.75,1.0,0.6202805792794817
synthetic_test,classification,n96_d12_r1.00,0.0,0.6293731569074777
synthetic_test,classification,n96_d12_r1.00,0.1,0.6273999263001923
synthetic_test,classification,n96_d12_r1.00,0.2,0.6256954350679835
synthetic_test,classification,n96_d12_r1.00,0.30000000000000004,0.6242559985315282
synthetic_test,classification,n96_d12_r1.00,0.4,0.6230808369062543
synthetic_test,classification,n96_d12_r1.00,0.5,0.6221720037454674
synthetic_test,classification,n96_d12_r1.00,0.6000000000000001,0.6215345422528059
synthetic_test,classification,n96_d12_r1.00,0.7000000000000001,0.6211769005378562
synthetic_test,classification,n96_d12_r1.00,0.8,0.6211117137340989
synthetic_test,classification,n96_d12_r1.00,0.9,0.6213572100883927
synthetic_test,classification,n96_d12_r1.00,1.0,0.6219398844935345
synthetic_test,classification,n96_d8_r0.00,0.0,0.6062826763414014
synthetic_test,classification,n96_d8_r0.00,0.1,0.6042857791557126
synthetic_test,classification,n96_d8_r0.00,0.2,0.6025056027802653
synthetic_test,classification,n96_d8_r0.00,0.30000000000000004,0.6009397437660557
synthetic_test,classification,n96_d8_r0.00,0.4,0.5995878673800228
