dataset,problem_type,model,variant,scope,selected_feature,mean_disagreement,mean_disagreement_seed_sd,max_disagreement,label_flip_rate,task_original,orbit_mean,orbit_worst,orbit_best,orbit_span,seeds,meaningful
credit-g,classification,tabicl_v2,orthogonal_one,one,credit_amount,0.03531191425157738,0.0,0.0441645550684503,0.03125,0.4758349963276596,0.4768478746239901,0.4823607862965538,0.4711365196259402,0.011224266670613658,3,True
credit-g,classification,tabm_d,condition_le_3_all,all,credit_amount,0.059022690506912306,0.009039662264779123,0.07835298246854307,0.07312500000000001,0.4842882615310409,0.4919290593160974,0.5054724179652955,0.480938593464639,0.024533824500656515,3,True
credit-g,classification,tabm_d,orthogonal_all,all,credit_amount,0.05806828501569239,0.009444471719950333,0.09056404318075006,0.07125,0.4842882615310409,0.4921505258373511,0.5070089786431241,0.4811362889286343,0.025872689714489788,3,True
credit-g,classification,tabm_d,orthogonal_one,one,credit_amount,0.04987379990407392,0.014116445405482216,0.0778051832828086,0.064375,0.4842882615310409,0.49048107753918874,0.5002641737094193,0.47944676138303416,0.020817412326385214,3,True
credit-g,classification,tabpfn_2_6,condition_le_3_all,all,credit_amount,0.044743074760780786,0.0035249662701397635,0.051292155446089165,0.04958333333333333,0.4869870040425375,0.4934795452367983,0.5017850005780378,0.48754193232283133,0.014243068255206418,3,True
credit-g,classification,tabpfn_2_6,orthogonal_all,all,credit_amount,0.047122855321385715,0.004299743989202462,0.0574982012271967,0.048749999999999995,0.4869870040425375,0.4927020868218173,0.49932431566051916,0.4864371677629235,0.012887147897595689,3,True
credit-g,classification,tabpfn_2_6,orthogonal_one,one,credit_amount,0.028525292122010628,0.001966932354575291,0.03201637740439303,0.03125,0.4869870040425375,0.4909664056026774,0.4965300040093333,0.4866594047167661,0.009870599292567136,3,True
diamonds,regression,catboost,condition_le_3_all,all,table,0.0641655664795907,0.00631565472797807,0.08078622869649976,,842.1245795459445,887.8306626283116,906.4419672243249,862.1014654830778,44.34050174124707,3,True
diamonds,regression,catboost,orthogonal_all,all,table,0.0637157058428096,0.0057830654554081795,0.07397268107025991,,842.1245795459445,892.8416849890267,920.5356524739624,864.6494396452168,55.88621282874548,3,True
diamonds,regression,catboost,orthogonal_one,one,table,0.03687432624696697,0.0015990848736387219,0.04149465488898723,,842.1245795459445,858.9372820677892,874.346036061114,841.540610085246,32.80542597586801,3,False
diamonds,regression,controlled_mlp,condition_le_3_all,all,table,0.04479908473980034,0.004977525272832893,0.055172635917061764,,687.8115607325608,680.0758022841795,701.0986076490802,659.4751794134753,41.623428235604855,3,False
diamonds,regression,controlled_mlp,orthogonal_all,all,table,0.038215558120179946,0.0024215605165094044,0.048157554705537835,,687.8115607325608,679.5004603412088,693.2175279617205,664.9008216265821,28.31670633513852,3,False
