dataset,problem_type,model,seed,method,track,representation_id,member,is_reference,split,task_error,disagreement,fit_seconds,gpu_peak_memory_mb,max_input_reconstruction_error
california_housing,regression,controlled_mlp,0,MatrixAdam,optimizer,orthogonal_all__m6,6,False,test,65189.83199715954,0.06938599143827133,0.9820466870442033,68.77490234375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,MatrixAdam,optimizer,orthogonal_all__m7,7,False,validation,60735.63574992056,0.17799233411670798,1.6770011449698359,68.77490234375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,MatrixAdam,optimizer,orthogonal_all__m7,7,False,test,66511.29847855103,0.19596683060063083,1.6770011449698359,68.77490234375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,PCA,representation,pca__v1__rbf_reference,-1,True,validation,61354.54380352884,0.0,0.5945859409403056,68.7666015625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,PCA,representation,pca__v1__rbf_reference,-1,True,test,65217.241464728184,0.0,0.5945859409403056,68.7666015625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m0,0,False,validation,61354.54380352884,0.0,0.44812208390794694,68.7666015625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m0,0,False,test,65217.241464728184,0.0,0.44812208390794694,68.7666015625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m1,1,False,validation,61354.54380352884,0.0,0.5765278260223567,68.7666015625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m1,1,False,test,65217.241464728184,0.0,0.5765278260223567,68.7666015625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m2,2,False,validation,61354.54380352884,0.0,0.4166413771454245,68.7666015625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m2,2,False,test,65217.241464728184,0.0,0.4166413771454245,68.7666015625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m3,3,False,validation,61354.54380352884,0.0,0.5151415888685733,68.7666015625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m3,3,False,test,65217.241464728184,0.0,0.5151415888685733,68.7666015625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m4,4,False,validation,61354.54380352884,0.0,0.48419040301814675,68.7666015625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m4,4,False,test,65217.241464728184,0.0,0.48419040301814675,68.7666015625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m5,5,False,validation,61354.54380352884,0.0,0.523026127833873,68.7666015625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m5,5,False,test,65217.241464728184,0.0,0.523026127833873,68.7666015625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m6,6,False,validation,61354.54380352884,0.0,0.5147620742209256,68.7666015625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m6,6,False,test,65217.241464728184,0.0,0.5147620742209256,68.7666015625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m7,7,False,validation,61354.54380352884,0.0,0.574111043009907,68.7666015625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m7,7,False,test,65217.241464728184,0.0,0.574111043009907,68.7666015625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__rbf_reference,-1,True,validation,60010.64274014156,0.0,0.28309662104584277,69.572265625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__rbf_reference,-1,True,test,64110.49459905955,0.0,0.28309662104584277,69.572265625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m0,0,False,validation,60010.64274014156,0.0,0.17711496609263122,69.572265625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m0,0,False,test,64110.49459905955,0.0,0.17711496609263122,69.572265625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m1,1,False,validation,60010.64274014156,0.0,0.2059854930266738,69.572265625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m1,1,False,test,64110.49459905955,0.0,0.2059854930266738,69.572265625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m2,2,False,validation,60010.64274014156,0.0,0.20920475688762963,69.572265625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m2,2,False,test,64110.49459905955,0.0,0.20920475688762963,69.572265625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m3,3,False,validation,60010.64274014156,0.0,0.18796165194362402,69.572265625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m3,3,False,test,64110.49459905955,0.0,0.18796165194362402,69.572265625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m4,4,False,validation,60010.64274014156,0.0,0.17946884501725435,69.572265625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m4,4,False,test,64110.49459905955,0.0,0.17946884501725435,69.572265625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m5,5,False,validation,60010.64274014156,0.0,0.2254748921841383,69.572265625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m5,5,False,test,64110.49459905955,0.0,0.2254748921841383,69.572265625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m6,6,False,validation,60010.64274014156,0.0,0.2268807829823345,69.572265625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m6,6,False,test,64110.49459905955,0.0,0.2268807829823345,69.572265625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m7,7,False,validation,60010.64274014156,0.0,0.20555684505961835,69.572265625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m7,7,False,test,64110.49459905955,0.0,0.20555684505961835,69.572265625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,GramDistance,representation,gram_distance__pivot_tie_v2__rbf_reference,-1,True,validation,60887.216697148804,0.0,0.32052971702069044,69.572265625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,GramDistance,representation,gram_distance__pivot_tie_v2__rbf_reference,-1,True,test,67877.74877546645,0.0,0.32052971702069044,69.572265625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,GramDistance,representation,gram_distance__pivot_tie_v2__orthogonal_all__m0,0,False,validation,60887.216697148804,0.0,0.2708243099041283,69.572265625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,GramDistance,representation,gram_distance__pivot_tie_v2__orthogonal_all__m0,0,False,test,67877.74877546645,0.0,0.2708243099041283,69.572265625,4.067255454572778e-16
