dataset,backbone,train_mode,seed,phase_materiality,phase_spread_rms,epochs,fit_wall_seconds,parameters_total,parameters_trainable,method,rmse,mae,quotient_mse
JenaWeather,patchtst,phase_aug_train,20261212,0.2914737663542948,0.13991107046604156,9,7.661283380817622,409880,401688,canonical,0.48001256585121155,0.3188749849796295,0.05305030941963196
JenaWeather,patchtst,phase_aug_train,20261212,0.2914737663542948,0.13991107046604156,9,7.661283380817622,409880,401688,exact_iid4,0.4411595472267696,0.2611639278275626,0.002796443986673174
JenaWeather,patchtst,phase_aug_train,20261212,0.2914737663542948,0.13991107046604156,9,7.661283380817622,409880,401688,phasecover4,0.4369420111179352,0.26146700978279114,0.0012670002179220319
JenaWeather,patchtst,phase_aug_train,20261212,0.2914737663542948,0.13991107046604156,9,7.661283380817622,409880,401688,full8,0.4380146861076355,0.2581923305988312,0.0
Traffic,moment,canonical_train,20261211,0.9782687658116194,0.6503123641014099,8,28.042991581838578,36123864,786456,canonical,0.6647583842277527,0.3831571638584137,0.7318270206451416
Traffic,moment,canonical_train,20261211,0.9782687658116194,0.6503123641014099,8,28.042991581838578,36123864,786456,exact_iid4,1.1367740520409175,0.8115528506892068,0.060415179987571066
Traffic,moment,canonical_train,20261211,0.9782687658116194,0.6503123641014099,8,28.042991581838578,36123864,786456,phasecover4,1.0522925853729248,0.743187427520752,0.010363771580159664
Traffic,moment,canonical_train,20261211,0.9782687658116194,0.6503123641014099,8,28.042991581838578,36123864,786456,full8,1.1191409826278687,0.8026110529899597,0.0
Traffic,moment,canonical_train,20261212,1.0007500856180542,0.65105801820755,12,42.29837871505879,36123864,786456,canonical,0.6505700349807739,0.36316391825675964,0.7349256873130798
Traffic,moment,canonical_train,20261212,1.0007500856180542,0.65105801820755,12,42.29837871505879,36123864,786456,exact_iid4,1.1235954914774213,0.7785086120877948,0.06055379839880126
Traffic,moment,canonical_train,20261212,1.0007500856180542,0.65105801820755,12,42.29837871505879,36123864,786456,phasecover4,1.0384520292282104,0.7080585956573486,0.010690153576433659
Traffic,moment,canonical_train,20261212,1.0007500856180542,0.65105801820755,12,42.29837871505879,36123864,786456,full8,1.1057183742523193,0.7684494853019714,0.0
Traffic,moment,phase_aug_train,20261211,0.44369433848613277,0.4618820548057556,7,24.582405021879822,36123864,786456,canonical,1.0409915447235107,0.7371010184288025,0.466357946395874
Traffic,moment,phase_aug_train,20261211,0.44369433848613277,0.4618820548057556,7,24.582405021879822,36123864,786456,exact_iid4,0.9565481007099151,0.6460476185594286,0.030476433374652907
Traffic,moment,phase_aug_train,20261211,0.44369433848613277,0.4618820548057556,7,24.582405021879822,36123864,786456,phasecover4,0.9269421100616455,0.6151283383369446,0.007383251097053289
Traffic,moment,phase_aug_train,20261211,0.44369433848613277,0.4618820548057556,7,24.582405021879822,36123864,786456,full8,0.9410756826400757,0.6312982439994812,0.0
Traffic,moment,phase_aug_train,20261212,0.5883512928433093,0.569442093372345,4,14.103151025017723,36123864,786456,canonical,0.9678606986999512,0.6511611342430115,0.677074134349823
